NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQASIA5000LM,NASDAQ Asia Cnsmr Svcs Large Mid Cap Index (NQASIA5000LM)
NASDAQOMX/NQASIA5000LMJPY,NASDAQ Asia Cnsmr Svcs Large Mid Cap JPY Index (NQASIA5000LMJPY)
NASDAQOMX/NQASIA5000LMJPYN,NASDAQ Asia Cnsmr Svcs Large Mid Cap JPY NTR Index (NQASIA5000LMJPYN)
NASDAQOMX/NQASIA5000LMN,NASDAQ Asia Cnsmr Svcs Large Mid Cap NTR Index (NQASIA5000LMN)
NASDAQOMX/NQASIA5000LMJPYT,NASDAQ Asia Cnsmr Svcs Large Mid Cap JPY TR Index (NQASIA5000LMJPYT)
NASDAQOMX/NQASIA5000LMT,NASDAQ Asia Cnsmr Svcs Large Mid Cap TR Index (NQASIA5000LMT)
NASDAQOMX/NQASIA5000LMAUD,NASDAQ Asia Cnsmr Svcs Lg Md Cap AUD Index (NQASIA5000LMAUD)
NASDAQOMX/NQASIA5000LMAUDN,NASDAQ Asia Cnsmr Svcs Lg Md Cap AUD NTR Index (NQASIA5000LMAUDN)
NASDAQOMX/NQASIA5000LMAUDT,NASDAQ Asia Cnsmr Svcs Lg Md Cap AUD TR Index (NQASIA5000LMAUDT)
NASDAQOMX/NQASIA5000N,NASDAQ Asia Cnsmr Svcs NTR Index (NQASIA5000N)
NASDAQOMX/NQASIA5000T,NASDAQ Asia Cnsmr Svcs TR Index (NQASIA5000T)
NASDAQOMX/NQASIAEUR,NASDAQ Asia EUR Index (NQASIAEUR)
NASDAQOMX/NQASIAEURN,NASDAQ Asia EUR NTR Index (NQASIAEURN)
NASDAQOMX/NQASIAEURT,NASDAQ Asia EUR TR Index (NQASIAEURT)
NASDAQOMX/NQASIA8000AUD,NASDAQ Asia Financials AUD Index (NQASIA8000AUD)
NASDAQOMX/NQASIA8000AUDN,NASDAQ Asia Financials AUD NTR Index (NQASIA8000AUDN)
NASDAQOMX/NQASIA8000AUDT,NASDAQ Asia Financials AUD TR Index (NQASIA8000AUDT)
NASDAQOMX/NQASIA8000CAD,NASDAQ Asia Financials CAD Index (NQASIA8000CAD)
NASDAQOMX/NQASIA8000CADN,NASDAQ Asia Financials CAD NTR Index (NQASIA8000CADN)
NASDAQOMX/NQASIA8000CADT,NASDAQ Asia Financials CAD TR Index (NQASIA8000CADT)
NASDAQOMX/NQASIA8000EUR,NASDAQ Asia Financials EUR Index (NQASIA8000EUR)
NASDAQOMX/NQASIA8000EURN,NASDAQ Asia Financials EUR NTR Index (NQASIA8000EURN)
NASDAQOMX/NQASIA8000EURT,NASDAQ Asia Financials EUR TR Index (NQASIA8000EURT)
NASDAQOMX/NQASIA8000GBP,NASDAQ Asia Financials GBP Index (NQASIA8000GBP)
NASDAQOMX/NQASIA8000GBPN,NASDAQ Asia Financials GBP NTR Index (NQASIA8000GBPN)
NASDAQOMX/NQASIA8000GBPT,NASDAQ Asia Financials GBP TR Index (NQASIA8000GBPT)
NASDAQOMX/NQASIA8000,NASDAQ Asia Financials Index (NQASIA8000)
NASDAQOMX/NQASIA8000JPY,NASDAQ Asia Financials JPY Index (NQASIA8000JPY)
NASDAQOMX/NQASIA8000JPYN,NASDAQ Asia Financials JPY NTR Index (NQASIA8000JPYN)
NASDAQOMX/NQASIA8000JPYT,NASDAQ Asia Financials JPY TR Index (NQASIA8000JPYT)
NASDAQOMX/NQASIA8000LMAUD,NASDAQ Asia Financials Large Mid Cap AUD Index (NQASIA8000LMAUD)
NASDAQOMX/NQASIA8000LMAUDN,NASDAQ Asia Financials Large Mid Cap AUD NTR Index (NQASIA8000LMAUDN)
NASDAQOMX/NQASIA8000LMAUDT,NASDAQ Asia Financials Large Mid Cap AUD TR Index (NQASIA8000LMAUDT)
NASDAQOMX/NQASIA8000LMCAD,NASDAQ Asia Financials Large Mid Cap CAD Index (NQASIA8000LMCAD)
NASDAQOMX/NQASIA8000LMCADN,NASDAQ Asia Financials Large Mid Cap CAD NTR Index (NQASIA8000LMCADN)
NASDAQOMX/NQASIA8000LMCADT,NASDAQ Asia Financials Large Mid Cap CAD TR Index (NQASIA8000LMCADT)
NASDAQOMX/NQASIA8000LMEUR,NASDAQ Asia Financials Large Mid Cap EUR Index (NQASIA8000LMEUR)
NASDAQOMX/NQASIA8000LMEURN,NASDAQ Asia Financials Large Mid Cap EUR NTR Index (NQASIA8000LMEURN)
NASDAQOMX/NQASIA8000LMEURT,NASDAQ Asia Financials Large Mid Cap EUR TR Index (NQASIA8000LMEURT)
NASDAQOMX/NQASIA8000LMGBP,NASDAQ Asia Financials Large Mid Cap GBP Index (NQASIA8000LMGBP)
NASDAQOMX/NQASIA8000LMGBPN,NASDAQ Asia Financials Large Mid Cap GBP NTR Index (NQASIA8000LMGBPN)
NASDAQOMX/NQASIA8000LMGBPT,NASDAQ Asia Financials Large Mid Cap GBP TR Index (NQASIA8000LMGBPT)
NASDAQOMX/NQASIA8000LM,NASDAQ Asia Financials Large Mid Cap Index (NQASIA8000LM)
NASDAQOMX/NQASIA8000LMJPY,NASDAQ Asia Financials Large Mid Cap JPY Index (NQASIA8000LMJPY)
NASDAQOMX/NQASIA8000LMJPYN,NASDAQ Asia Financials Large Mid Cap JPY NTR Index (NQASIA8000LMJPYN)
NASDAQOMX/NQASIA8000LMJPYT,NASDAQ Asia Financials Large Mid Cap JPY TR Index (NQASIA8000LMJPYT)
NASDAQOMX/NQASIA8000LMN,NASDAQ Asia Financials Large Mid Cap NTR Index (NQASIA8000LMN)
NASDAQOMX/NQASIA8000LMT,NASDAQ Asia Financials Large Mid Cap TR Index (NQASIA8000LMT)
NASDAQOMX/NQASIA8000N,NASDAQ Asia Financials NTR Index (NQASIA8000N)
NASDAQOMX/NQASIA8000T,NASDAQ Asia Financials TR Index (NQASIA8000T)
NASDAQOMX/NQASIAGBP,NASDAQ Asia GBP Index (NQASIAGBP)
NASDAQOMX/NQASIAGBPN,NASDAQ Asia GBP NTR Index (NQASIAGBPN)
