NASDAQOMX/NQGI,NASDAQ Global Index (NQGI)
NASDAQOMX/NQUSL9570N,NQ US Lg Cap Tech Hardware & Eqpt NTR Index (NQUSL9570N)
NASDAQOMX/NQUSL9000N,NQ US Lg Cap Tech NTR Index (NQUSL9000N)
NASDAQOMX/NQUSL9000JPYT,NQ US Lg Cap Tech JPY TR Index (NQUSL9000JPYT)
NASDAQOMX/NQUSL6000AUD,NQ US Lg Cap Telecom AUD Index (NQUSL6000AUD)
NASDAQOMX/NQUSL9000T,NQ US Lg Cap Tech TR Index (NQUSL9000T)
NASDAQOMX/NQUSL6000AUDN,NQ US Lg Cap Telecom AUD NTR Index (NQUSL6000AUDN)
NASDAQOMX/NQUSL6000AUDT,NQ US Lg Cap Telecom AUD TR Index (NQUSL6000AUDT)
NASDAQOMX/NQUSL6000CADT,NQ US Lg Cap Telecom CAD TR Index (NQUSL6000CADT)
NASDAQOMX/NQUSL6000CADN,NQ US Lg Cap Telecom CAD NTR Index (NQUSL6000CADN)
NASDAQOMX/NQUSL6000CAD,NQ US Lg Cap Telecom CAD Index (NQUSL6000CAD)
NASDAQOMX/NQUSL9578AUD,NQ US Lg Cap Telecom Eqpt AUD Index (NQUSL9578AUD)
NASDAQOMX/NQUSL9578AUDN,NQ US Lg Cap Telecom Eqpt AUD NTR Index (NQUSL9578AUDN)
NASDAQOMX/NQUSL9578AUDT,NQ US Lg Cap Telecom Eqpt AUD TR Index (NQUSL9578AUDT)
NASDAQOMX/NQUSL9578CAD,NQ US Lg Cap Telecom Eqpt CAD Index (NQUSL9578CAD)
NASDAQOMX/NQUSL9578CADN,NQ US Lg Cap Telecom Eqpt CAD NTR Index (NQUSL9578CADN)
NASDAQOMX/NQUSL9578CADT,NQ US Lg Cap Telecom Eqpt CAD TR Index (NQUSL9578CADT)
NASDAQOMX/NQUSL9578EUR,NQ US Lg Cap Telecom Eqpt EUR Index (NQUSL9578EUR)
NASDAQOMX/NQUSL9578EURN,NQ US Lg Cap Telecom Eqpt EUR NTR Index (NQUSL9578EURN)
NASDAQOMX/NQUSL9578EURT,NQ US Lg Cap Telecom Eqpt EUR TR Index (NQUSL9578EURT)
NASDAQOMX/NQUSL9578GBPN,NQ US Lg Cap Telecom Eqpt GBP NTR Index (NQUSL9578GBPN)
NASDAQOMX/NQUSL9578GBP,NQ US Lg Cap Telecom Eqpt GBP Index (NQUSL9578GBP)
NASDAQOMX/NQUSL9578GBPT,NQ US Lg Cap Telecom Eqpt GBP TR Index (NQUSL9578GBPT)
NASDAQOMX/NQUSL9578JPY,NQ US Lg Cap Telecom Eqpt JPY Index (NQUSL9578JPY)
NASDAQOMX/NQUSL9578,NQ US Lg Cap Telecom Eqpt Index (NQUSL9578)
NASDAQOMX/NQUSL9578JPYN,NQ US Lg Cap Telecom Eqpt JPY NTR Index (NQUSL9578JPYN)
NASDAQOMX/NQUSL9578JPYT,NQ US Lg Cap Telecom Eqpt JPY TR Index (NQUSL9578JPYT)
NASDAQOMX/NQUSL9578T,NQ US Lg Cap Telecom Eqpt TR Index (NQUSL9578T)
NASDAQOMX/NQUSL9578N,NQ US Lg Cap Telecom Eqpt NTR Index (NQUSL9578N)
NASDAQOMX/NQUSL6000EUR,NQ US Lg Cap Telecom EUR Index (NQUSL6000EUR)
NASDAQOMX/NQUSL6000EURT,NQ US Lg Cap Telecom EUR TR Index (NQUSL6000EURT)
NASDAQOMX/NQUSL6000EURN,NQ US Lg Cap Telecom EUR NTR Index (NQUSL6000EURN)
NASDAQOMX/NQUSL6000GBP,NQ US Lg Cap Telecom GBP Index (NQUSL6000GBP)
NASDAQOMX/NQUSL6000GBPN,NQ US Lg Cap Telecom GBP NTR Index (NQUSL6000GBPN)
NASDAQOMX/NQUSL6000GBPT,NQ US Lg Cap Telecom GBP TR Index (NQUSL6000GBPT)
NASDAQOMX/NQUSL6000,NQ US Lg Cap Telecom Index (NQUSL6000)
NASDAQOMX/NQUSL6000JPY,NQ US Lg Cap Telecom JPY Index (NQUSL6000JPY)
NASDAQOMX/NQUSL6000JPYT,NQ US Lg Cap Telecom JPY TR Index (NQUSL6000JPYT)
NASDAQOMX/NQUSL6000JPYN,NQ US Lg Cap Telecom JPY NTR Index (NQUSL6000JPYN)
NASDAQOMX/NQUSL6000N,NQ US Lg Cap Telecom NTR Index (NQUSL6000N)
NASDAQOMX/NQUSL6000T,NQ US Lg Cap Telecom TR Index (NQUSL6000T)
NASDAQOMX/NQUSL5700AUD,NQ US Lg Cap Travel & Leisure AUD Index (NQUSL5700AUD)
NASDAQOMX/NQUSL5700AUDN,NQ US Lg Cap Travel & Leisure AUD NTR Index (NQUSL5700AUDN)
NASDAQOMX/NQUSL5700AUDT,NQ US Lg Cap Travel & Leisure AUD TR Index (NQUSL5700AUDT)
NASDAQOMX/NQUSL5700CAD,NQ US Lg Cap Travel & Leisure CAD Index (NQUSL5700CAD)
NASDAQOMX/NQUSL5700CADN,NQ US Lg Cap Travel & Leisure CAD NTR Index (NQUSL5700CADN)
NASDAQOMX/NQUSL5700CADT,NQ US Lg Cap Travel & Leisure CAD TR Index (NQUSL5700CADT)
NASDAQOMX/NQUSL5700EUR,NQ US Lg Cap Travel & Leisure EUR Index (NQUSL5700EUR)
NASDAQOMX/NQUSL5700EURN,NQ US Lg Cap Travel & Leisure EUR NTR Index (NQUSL5700EURN)
NASDAQOMX/NQUSL5700EURT,NQ US Lg Cap Travel & Leisure EUR TR Index (NQUSL5700EURT)
NASDAQOMX/NQUSL5700GBPN,NQ US Lg Cap Travel & Leisure GBP NTR Index (NQUSL5700GBPN)
NASDAQOMX/NQUSL5700GBP,NQ US Lg Cap Travel & Leisure GBP Index (NQUSL5700GBP)
NASDAQOMX/NQUSL5700JPY,NQ US Lg Cap Travel & Leisure JPY Index (NQUSL5700JPY)
NASDAQOMX/NQUSL5700GBPT,NQ US Lg Cap Travel & Leisure GBP TR Index (NQUSL5700GBPT)
NASDAQOMX/NQUSL5700,NQ US Lg Cap Travel & Leisure Index (NQUSL5700)
NASDAQOMX/NQUSL5700JPYN,NQ US Lg Cap Travel & Leisure JPY NTR Index (NQUSL5700JPYN)
NASDAQOMX/NQUSL5700JPYT,NQ US Lg Cap Travel & Leisure JPY TR Index (NQUSL5700JPYT)
NASDAQOMX/NQUSL5700N,NQ US Lg Cap Travel & Leisure NTR Index (NQUSL5700N)
NASDAQOMX/NQUSL5700T,NQ US Lg Cap Travel & Leisure TR Index (NQUSL5700T)
NASDAQOMX/NQUSL7000AUDN,NQ US Lg Cap Utilities AUD NTR Index (NQUSL7000AUDN)
NASDAQOMX/NQUSL7000AUD,NQ US Lg Cap Utilities AUD Index (NQUSL7000AUD)
NASDAQOMX/NQUSL7000AUDT,NQ US Lg Cap Utilities AUD TR Index (NQUSL7000AUDT)
NASDAQOMX/NQUSL7000CAD,NQ US Lg Cap Utilities CAD Index (NQUSL7000CAD)
NASDAQOMX/NQUSL7000CADN,NQ US Lg Cap Utilities CAD NTR Index (NQUSL7000CADN)
NASDAQOMX/NQUSL7000EUR,NQ US Lg Cap Utilities EUR Index (NQUSL7000EUR)
NASDAQOMX/NQUSL7000EURN,NQ US Lg Cap Utilities EUR NTR Index (NQUSL7000EURN)
NASDAQOMX/NQUSL7000EURT,NQ US Lg Cap Utilities EUR TR Index (NQUSL7000EURT)
NASDAQOMX/NQUSL7000GBPT,NQ US Lg Cap Utilities GBP TR Index (NQUSL7000GBPT)
NASDAQOMX/NQUSL7000CADT,NQ US Lg Cap Utilities CAD TR Index (NQUSL7000CADT)
NASDAQOMX/NQUSL7000GBP,NQ US Lg Cap Utilities GBP Index (NQUSL7000GBP)
NASDAQOMX/NQUSL7000GBPN,NQ US Lg Cap Utilities GBP NTR Index (NQUSL7000GBPN)
NASDAQOMX/NQUSL7000,NQ US Lg Cap Utilities Index (NQUSL7000)
NASDAQOMX/NQUSL7000JPY,NQ US Lg Cap Utilities JPY Index (NQUSL7000JPY)
NASDAQOMX/NQUSL7000JPYN,NQ US Lg Cap Utilities JPY NTR Index (NQUSL7000JPYN)
NASDAQOMX/NQUSL7000N,NQ US Lg Cap Utilities NTR Index (NQUSL7000N)
NASDAQOMX/NQUSL7000JPYT,NQ US Lg Cap Utilities JPY TR Index (NQUSL7000JPYT)
NASDAQOMX/NQUSL7000T,NQ US Lg Cap Utilities TR Index (NQUSL7000T)
NASDAQOMX/NQUSM2710AUD,NQ US Md Cap Aerospace & Defense AUD Index (NQUSM2710AUD)
NASDAQOMX/NQUSM2710AUDN,NQ US Md Cap Aerospace & Defense AUD NTR Index (NQUSM2710AUDN)
NASDAQOMX/NQUSM2710AUDT,NQ US Md Cap Aerospace & Defense AUD TR Index (NQUSM2710AUDT)
NASDAQOMX/NQUSM2710CAD,NQ US Md Cap Aerospace & Defense CAD Index (NQUSM2710CAD)
NASDAQOMX/NQUSM2710CADN,NQ US Md Cap Aerospace & Defense CAD NTR Index (NQUSM2710CADN)
NASDAQOMX/NQUSM2710CADT,NQ US Md Cap Aerospace & Defense CAD TR Index (NQUSM2710CADT)
NASDAQOMX/NQUSM2710EUR,NQ US Md Cap Aerospace & Defense EUR Index (NQUSM2710EUR)
NASDAQOMX/NQUSM2710EURN,NQ US Md Cap Aerospace & Defense EUR NTR Index (NQUSM2710EURN)
NASDAQOMX/NQUSM2710EURT,NQ US Md Cap Aerospace & Defense EUR TR Index (NQUSM2710EURT)
NASDAQOMX/NQUSM2710GBP,NQ US Md Cap Aerospace & Defense GBP Index (NQUSM2710GBP)
NASDAQOMX/NQUSM2710GBPN,NQ US Md Cap Aerospace & Defense GBP NTR Index (NQUSM2710GBPN)
NASDAQOMX/NQUSM2710GBPT,NQ US Md Cap Aerospace & Defense GBP TR Index (NQUSM2710GBPT)
NASDAQOMX/NQUSM2710,NQ US Md Cap Aerospace & Defense Index (NQUSM2710)
NASDAQOMX/NQUSM2710JPY,NQ US Md Cap Aerospace & Defense JPY Index (NQUSM2710JPY)
NASDAQOMX/NQUSM2710JPYT,NQ US Md Cap Aerospace & Defense JPY TR Index (NQUSM2710JPYT)
NASDAQOMX/NQUSM2710JPYN,NQ US Md Cap Aerospace & Defense JPY NTR Index (NQUSM2710JPYN)
NASDAQOMX/NQUSM2710N,NQ US Md Cap Aerospace & Defense NTR Index (NQUSM2710N)
NASDAQOMX/NQUSM2710T,NQ US Md Cap Aerospace & Defense TR Index (NQUSM2710T)
NASDAQOMX/NQUSM2713AUDN,NQ US Md Cap Aerospace AUD NTR Index (NQUSM2713AUDN)
NASDAQOMX/NQUSM2713AUD,NQ US Md Cap Aerospace AUD Index (NQUSM2713AUD)
NASDAQOMX/NQUSM2713CAD,NQ US Md Cap Aerospace CAD Index (NQUSM2713CAD)
NASDAQOMX/NQUSM2713AUDT,NQ US Md Cap Aerospace AUD TR Index (NQUSM2713AUDT)
NASDAQOMX/NQUSM2713EUR,NQ US Md Cap Aerospace EUR Index (NQUSM2713EUR)
NASDAQOMX/NQUSM2713CADN,NQ US Md Cap Aerospace CAD NTR Index (NQUSM2713CADN)
NASDAQOMX/NQUSM2713EURN,NQ US Md Cap Aerospace EUR NTR Index (NQUSM2713EURN)
NASDAQOMX/NQUSM2713EURT,NQ US Md Cap Aerospace EUR TR Index (NQUSM2713EURT)
NASDAQOMX/NQUSM2713CADT,NQ US Md Cap Aerospace CAD TR Index (NQUSM2713CADT)
NASDAQOMX/NQUSM2713GBP,NQ US Md Cap Aerospace GBP Index (NQUSM2713GBP)
NASDAQOMX/NQUSM2713,NQ US Md Cap Aerospace Index (NQUSM2713)
NASDAQOMX/NQUSM2713GBPT,NQ US Md Cap Aerospace GBP TR Index (NQUSM2713GBPT)
NASDAQOMX/NQUSM2713GBPN,NQ US Md Cap Aerospace GBP NTR Index (NQUSM2713GBPN)
NASDAQOMX/NQUSM2713N,NQ US Md Cap Aerospace NTR Index (NQUSM2713N)
NASDAQOMX/NQUSM2713JPY,NQ US Md Cap Aerospace JPY Index (NQUSM2713JPY)
NASDAQOMX/NQUSM2713JPYN,NQ US Md Cap Aerospace JPY NTR Index (NQUSM2713JPYN)
NASDAQOMX/NQUSM5371AUD,NQ US Md Cap Apparel Rtlrs AUD Index (NQUSM5371AUD)
NASDAQOMX/NQUSM2713JPYT,NQ US Md Cap Aerospace JPY TR Index (NQUSM2713JPYT)
NASDAQOMX/NQUSM2713T,NQ US Md Cap Aerospace TR Index (NQUSM2713T)
NASDAQOMX/NQUSM5371AUDN,NQ US Md Cap Apparel Rtlrs AUD NTR Index (NQUSM5371AUDN)
NASDAQOMX/NQUSM5371CADT,NQ US Md Cap Apparel Rtlrs CAD TR Index (NQUSM5371CADT)
NASDAQOMX/NQUSM5371CADN,NQ US Md Cap Apparel Rtlrs CAD NTR Index (NQUSM5371CADN)
NASDAQOMX/NQUSM5371CAD,NQ US Md Cap Apparel Rtlrs CAD Index (NQUSM5371CAD)
NASDAQOMX/NQUSM5371AUDT,NQ US Md Cap Apparel Rtlrs AUD TR Index (NQUSM5371AUDT)
NASDAQOMX/NQUSM5371EUR,NQ US Md Cap Apparel Rtlrs EUR Index (NQUSM5371EUR)
NASDAQOMX/NQUSM5371EURN,NQ US Md Cap Apparel Rtlrs EUR NTR Index (NQUSM5371EURN)
NASDAQOMX/NQUSM5371EURT,NQ US Md Cap Apparel Rtlrs EUR TR Index (NQUSM5371EURT)
NASDAQOMX/NQUSM5371GBPN,NQ US Md Cap Apparel Rtlrs GBP NTR Index (NQUSM5371GBPN)
NASDAQOMX/NQUSM5371GBP,NQ US Md Cap Apparel Rtlrs GBP Index (NQUSM5371GBP)
NASDAQOMX/NQUSM5371GBPT,NQ US Md Cap Apparel Rtlrs GBP TR Index (NQUSM5371GBPT)
NASDAQOMX/NQUSM5371,NQ US Md Cap Apparel Rtlrs Index (NQUSM5371)
NASDAQOMX/NQUSM5371JPY,NQ US Md Cap Apparel Rtlrs JPY Index (NQUSM5371JPY)
NASDAQOMX/NQUSM5371JPYN,NQ US Md Cap Apparel Rtlrs JPY NTR Index (NQUSM5371JPYN)
NASDAQOMX/NQUSM5371JPYT,NQ US Md Cap Apparel Rtlrs JPY TR Index (NQUSM5371JPYT)
NASDAQOMX/NQUSM5371N,NQ US Md Cap Apparel Rtlrs NTR Index (NQUSM5371N)
NASDAQOMX/NQUSM5371T,NQ US Md Cap Apparel Rtlrs TR Index (NQUSM5371T)
NASDAQOMX/NQUSM8771AUD,NQ US Md Cap Asset Managers AUD Index (NQUSM8771AUD)
NASDAQOMX/NQUSM8771AUDN,NQ US Md Cap Asset Managers AUD NTR Index (NQUSM8771AUDN)
NASDAQOMX/NQUSM8771CAD,NQ US Md Cap Asset Managers CAD Index (NQUSM8771CAD)
NASDAQOMX/NQUSM8771AUDT,NQ US Md Cap Asset Managers AUD TR Index (NQUSM8771AUDT)
NASDAQOMX/NQUSM8771CADN,NQ US Md Cap Asset Managers CAD NTR Index (NQUSM8771CADN)
NASDAQOMX/NQUSM8771EURN,NQ US Md Cap Asset Managers EUR NTR Index (NQUSM8771EURN)
NASDAQOMX/NQUSM8771EUR,NQ US Md Cap Asset Managers EUR Index (NQUSM8771EUR)
NASDAQOMX/NQUSM8771CADT,NQ US Md Cap Asset Managers CAD TR Index (NQUSM8771CADT)
NASDAQOMX/NQUSM8771GBPN,NQ US Md Cap Asset Managers GBP NTR Index (NQUSM8771GBPN)
NASDAQOMX/NQUSM8771EURT,NQ US Md Cap Asset Managers EUR TR Index (NQUSM8771EURT)
NASDAQOMX/NQUSM8771GBP,NQ US Md Cap Asset Managers GBP Index (NQUSM8771GBP)
NASDAQOMX/NQUSM8771GBPT,NQ US Md Cap Asset Managers GBP TR Index (NQUSM8771GBPT)
NASDAQOMX/NQUSM8771JPY,NQ US Md Cap Asset Managers JPY Index (NQUSM8771JPY)
NASDAQOMX/NQUSM8771,NQ US Md Cap Asset Managers Index (NQUSM8771)
NASDAQOMX/NQUSM8771JPYT,NQ US Md Cap Asset Managers JPY TR Index (NQUSM8771JPYT)
NASDAQOMX/NQUSM8771N,NQ US Md Cap Asset Managers NTR Index (NQUSM8771N)
NASDAQOMX/NQUSM8771JPYN,NQ US Md Cap Asset Managers JPY NTR Index (NQUSM8771JPYN)
NASDAQOMX/NQUSM8771T,NQ US Md Cap Asset Managers TR Index (NQUSM8771T)
NASDAQOMX/NQUSM3300AUDT,NQ US Md Cap Auto & Parts AUD TR Index (NQUSM3300AUDT)
NASDAQOMX/NQUSM3300AUD,NQ US Md Cap Auto & Parts AUD Index (NQUSM3300AUD)
NASDAQOMX/NQUSM3300AUDN,NQ US Md Cap Auto & Parts AUD NTR Index (NQUSM3300AUDN)
NASDAQOMX/NQUSM3300CAD,NQ US Md Cap Auto & Parts CAD Index (NQUSM3300CAD)
NASDAQOMX/NQUSM3300CADN,NQ US Md Cap Auto & Parts CAD NTR Index (NQUSM3300CADN)
NASDAQOMX/NQUSM3300CADT,NQ US Md Cap Auto & Parts CAD TR Index (NQUSM3300CADT)
NASDAQOMX/NQUSM3300EUR,NQ US Md Cap Auto & Parts EUR Index (NQUSM3300EUR)
NASDAQOMX/NQUSM3300EURT,NQ US Md Cap Auto & Parts EUR TR Index (NQUSM3300EURT)
NASDAQOMX/NQUSM3300EURN,NQ US Md Cap Auto & Parts EUR NTR Index (NQUSM3300EURN)
NASDAQOMX/NQUSM3300GBP,NQ US Md Cap Auto & Parts GBP Index (NQUSM3300GBP)
NASDAQOMX/NQUSM3300GBPN,NQ US Md Cap Auto & Parts GBP NTR Index (NQUSM3300GBPN)
NASDAQOMX/NQUSM3300,NQ US Md Cap Auto & Parts Index (NQUSM3300)
NASDAQOMX/NQUSM3300GBPT,NQ US Md Cap Auto & Parts GBP TR Index (NQUSM3300GBPT)
NASDAQOMX/NQUSM3300JPY,NQ US Md Cap Auto & Parts JPY Index (NQUSM3300JPY)
NASDAQOMX/NQUSM3300JPYN,NQ US Md Cap Auto & Parts JPY NTR Index (NQUSM3300JPYN)
NASDAQOMX/NQUSM3300JPYT,NQ US Md Cap Auto & Parts JPY TR Index (NQUSM3300JPYT)
NASDAQOMX/NQUSM3300N,NQ US Md Cap Auto & Parts NTR Index (NQUSM3300N)
NASDAQOMX/NQUSM3355AUD,NQ US Md Cap Auto Parts AUD Index (NQUSM3355AUD)
NASDAQOMX/NQUSM3300T,NQ US Md Cap Auto & Parts TR Index (NQUSM3300T)
NASDAQOMX/NQUSM3355AUDN,NQ US Md Cap Auto Parts AUD NTR Index (NQUSM3355AUDN)
NASDAQOMX/NQUSM3355AUDT,NQ US Md Cap Auto Parts AUD TR Index (NQUSM3355AUDT)
NASDAQOMX/NQUSM3355CAD,NQ US Md Cap Auto Parts CAD Index (NQUSM3355CAD)
NASDAQOMX/NQUSM3355CADN,NQ US Md Cap Auto Parts CAD NTR Index (NQUSM3355CADN)
NASDAQOMX/NQUSM3355CADT,NQ US Md Cap Auto Parts CAD TR Index (NQUSM3355CADT)
NASDAQOMX/NQUSM3355EUR,NQ US Md Cap Auto Parts EUR Index (NQUSM3355EUR)
NASDAQOMX/NQUSM3355EURN,NQ US Md Cap Auto Parts EUR NTR Index (NQUSM3355EURN)
NASDAQOMX/NQUSM3355EURT,NQ US Md Cap Auto Parts EUR TR Index (NQUSM3355EURT)
NASDAQOMX/NQUSM3355GBPN,NQ US Md Cap Auto Parts GBP NTR Index (NQUSM3355GBPN)
NASDAQOMX/NQUSM3355GBP,NQ US Md Cap Auto Parts GBP Index (NQUSM3355GBP)
NASDAQOMX/NQUSM3355GBPT,NQ US Md Cap Auto Parts GBP TR Index (NQUSM3355GBPT)
NASDAQOMX/NQUSM3355JPY,NQ US Md Cap Auto Parts JPY Index (NQUSM3355JPY)
NASDAQOMX/NQUSM3355,NQ US Md Cap Auto Parts Index (NQUSM3355)
NASDAQOMX/NQUSM3355JPYT,NQ US Md Cap Auto Parts JPY TR Index (NQUSM3355JPYT)
NASDAQOMX/NQUSM3355JPYN,NQ US Md Cap Auto Parts JPY NTR Index (NQUSM3355JPYN)
NASDAQOMX/NQUSM3355N,NQ US Md Cap Auto Parts NTR Index (NQUSM3355N)
NASDAQOMX/NQUSM3355T,NQ US Md Cap Auto Parts TR Index (NQUSM3355T)
NASDAQOMX/NQUSM8300AUD,NQ US Md Cap Banks AUD Index (NQUSM8300AUD)
NASDAQOMX/NQUSM8300AUDN,NQ US Md Cap Banks AUD NTR Index (NQUSM8300AUDN)
NASDAQOMX/NQUSM8300EURN,NQ US Md Cap Banks EUR NTR Index (NQUSM8300EURN)
NASDAQOMX/NQUSM8300CADN,NQ US Md Cap Banks CAD NTR Index (NQUSM8300CADN)
NASDAQOMX/NQUSM8300CAD,NQ US Md Cap Banks CAD Index (NQUSM8300CAD)
NASDAQOMX/NQUSM8300AUDT,NQ US Md Cap Banks AUD TR Index (NQUSM8300AUDT)
NASDAQOMX/NQUSM8300EUR,NQ US Md Cap Banks EUR Index (NQUSM8300EUR)
NASDAQOMX/NQUSM8300CADT,NQ US Md Cap Banks CAD TR Index (NQUSM8300CADT)
NASDAQOMX/NQUSM8300EURT,NQ US Md Cap Banks EUR TR Index (NQUSM8300EURT)
NASDAQOMX/NQUSM8300GBP,NQ US Md Cap Banks GBP Index (NQUSM8300GBP)
NASDAQOMX/NQUSM8300GBPN,NQ US Md Cap Banks GBP NTR Index (NQUSM8300GBPN)
NASDAQOMX/NQUSM8300JPYT,NQ US Md Cap Banks JPY TR Index (NQUSM8300JPYT)
NASDAQOMX/NQUSM8300,NQ US Md Cap Banks Index (NQUSM8300)
NASDAQOMX/NQUSM8300GBPT,NQ US Md Cap Banks GBP TR Index (NQUSM8300GBPT)
NASDAQOMX/NQUSM8300JPY,NQ US Md Cap Banks JPY Index (NQUSM8300JPY)
NASDAQOMX/NQUSM8300JPYN,NQ US Md Cap Banks JPY NTR Index (NQUSM8300JPYN)
NASDAQOMX/NQUSM1000AUD,NQ US Md Cap Basic Matls AUD Index (NQUSM1000AUD)
NASDAQOMX/NQUSM8300T,NQ US Md Cap Banks TR Index (NQUSM8300T)
NASDAQOMX/NQUSM8300N,NQ US Md Cap Banks NTR Index (NQUSM8300N)
NASDAQOMX/NQUSM1000AUDN,NQ US Md Cap Basic Matls AUD NTR Index (NQUSM1000AUDN)
NASDAQOMX/NQUSM1000AUDT,NQ US Md Cap Basic Matls AUD TR Index (NQUSM1000AUDT)
NASDAQOMX/NQUSM1000CADN,NQ US Md Cap Basic Matls CAD NTR Index (NQUSM1000CADN)
NASDAQOMX/NQUSM1000CAD,NQ US Md Cap Basic Matls CAD Index (NQUSM1000CAD)
NASDAQOMX/NQUSM1000CADT,NQ US Md Cap Basic Matls CAD TR Index (NQUSM1000CADT)
NASDAQOMX/NQUSM1000EUR,NQ US Md Cap Basic Matls EUR Index (NQUSM1000EUR)
NASDAQOMX/NQUSM1000EURN,NQ US Md Cap Basic Matls EUR NTR Index (NQUSM1000EURN)
NASDAQOMX/NQUSM1000EURT,NQ US Md Cap Basic Matls EUR TR Index (NQUSM1000EURT)
NASDAQOMX/NQUSM1000GBP,NQ US Md Cap Basic Matls GBP Index (NQUSM1000GBP)
NASDAQOMX/NQUSM1000GBPN,NQ US Md Cap Basic Matls GBP NTR Index (NQUSM1000GBPN)
NASDAQOMX/NQUSM1000,NQ US Md Cap Basic Matls Index (NQUSM1000)
NASDAQOMX/NQUSM1000GBPT,NQ US Md Cap Basic Matls GBP TR Index (NQUSM1000GBPT)
NASDAQOMX/NQUSM1000JPY,NQ US Md Cap Basic Matls JPY Index (NQUSM1000JPY)
NASDAQOMX/NQUSM1000JPYN,NQ US Md Cap Basic Matls JPY NTR Index (NQUSM1000JPYN)
NASDAQOMX/NQUSM1000JPYT,NQ US Md Cap Basic Matls JPY TR Index (NQUSM1000JPYT)
NASDAQOMX/NQUSM1000N,NQ US Md Cap Basic Matls NTR Index (NQUSM1000N)
NASDAQOMX/NQUSM1000T,NQ US Md Cap Basic Matls TR Index (NQUSM1000T)
NASDAQOMX/NQUSM1700AUD,NQ US Md Cap Basic Resources AUD Index (NQUSM1700AUD)
NASDAQOMX/NQUSM1700CAD,NQ US Md Cap Basic Resources CAD Index (NQUSM1700CAD)
NASDAQOMX/NQUSM1700AUDN,NQ US Md Cap Basic Resources AUD NTR Index (NQUSM1700AUDN)
NASDAQOMX/NQUSM1700AUDT,NQ US Md Cap Basic Resources AUD TR Index (NQUSM1700AUDT)
NASDAQOMX/NQUSM1700CADN,NQ US Md Cap Basic Resources CAD NTR Index (NQUSM1700CADN)
NASDAQOMX/NQUSM1700EUR,NQ US Md Cap Basic Resources EUR Index (NQUSM1700EUR)
NASDAQOMX/NQUSM1700CADT,NQ US Md Cap Basic Resources CAD TR Index (NQUSM1700CADT)
NASDAQOMX/NQUSM1700EURN,NQ US Md Cap Basic Resources EUR NTR Index (NQUSM1700EURN)
NASDAQOMX/NQUSM1700GBP,NQ US Md Cap Basic Resources GBP Index (NQUSM1700GBP)
NASDAQOMX/NQUSM1700EURT,NQ US Md Cap Basic Resources EUR TR Index (NQUSM1700EURT)
NASDAQOMX/NQUSM1700GBPN,NQ US Md Cap Basic Resources GBP NTR Index (NQUSM1700GBPN)
NASDAQOMX/NQUSM1700GBPT,NQ US Md Cap Basic Resources GBP TR Index (NQUSM1700GBPT)
NASDAQOMX/NQUSM1700,NQ US Md Cap Basic Resources Index (NQUSM1700)
NASDAQOMX/NQUSM1700JPY,NQ US Md Cap Basic Resources JPY Index (NQUSM1700JPY)
NASDAQOMX/NQUSM1700JPYN,NQ US Md Cap Basic Resources JPY NTR Index (NQUSM1700JPYN)
NASDAQOMX/NQUSM1700N,NQ US Md Cap Basic Resources NTR Index (NQUSM1700N)
NASDAQOMX/NQUSM1700JPYT,NQ US Md Cap Basic Resources JPY TR Index (NQUSM1700JPYT)
NASDAQOMX/NQUSM4573AUD,NQ US Md Cap Biotech AUD Index (NQUSM4573AUD)
NASDAQOMX/NQUSM1700T,NQ US Md Cap Basic Resources TR Index (NQUSM1700T)
NASDAQOMX/NQUSM4573AUDN,NQ US Md Cap Biotech AUD NTR Index (NQUSM4573AUDN)
NASDAQOMX/NQUSM4573CAD,NQ US Md Cap Biotech CAD Index (NQUSM4573CAD)
NASDAQOMX/NQUSM4573AUDT,NQ US Md Cap Biotech AUD TR Index (NQUSM4573AUDT)
NASDAQOMX/NQUSM4573CADN,NQ US Md Cap Biotech CAD NTR Index (NQUSM4573CADN)
NASDAQOMX/NQUSM4573CADT,NQ US Md Cap Biotech CAD TR Index (NQUSM4573CADT)
NASDAQOMX/NQUSM4573EUR,NQ US Md Cap Biotech EUR Index (NQUSM4573EUR)
NASDAQOMX/NQUSM4573EURT,NQ US Md Cap Biotech EUR TR Index (NQUSM4573EURT)
NASDAQOMX/NQUSM4573EURN,NQ US Md Cap Biotech EUR NTR Index (NQUSM4573EURN)
NASDAQOMX/NQUSM4573GBPT,NQ US Md Cap Biotech GBP TR Index (NQUSM4573GBPT)
NASDAQOMX/NQUSM4573GBP,NQ US Md Cap Biotech GBP Index (NQUSM4573GBP)
NASDAQOMX/NQUSM4573GBPN,NQ US Md Cap Biotech GBP NTR Index (NQUSM4573GBPN)
NASDAQOMX/NQUSM4573JPY,NQ US Md Cap Biotech JPY Index (NQUSM4573JPY)
NASDAQOMX/NQUSM4573,NQ US Md Cap Biotech Index (NQUSM4573)
NASDAQOMX/NQUSM4573JPYT,NQ US Md Cap Biotech JPY TR Index (NQUSM4573JPYT)
NASDAQOMX/NQUSM4573JPYN,NQ US Md Cap Biotech JPY NTR Index (NQUSM4573JPYN)
NASDAQOMX/NQUSM4573T,NQ US Md Cap Biotech TR Index (NQUSM4573T)
NASDAQOMX/NQUSM4573N,NQ US Md Cap Biotech NTR Index (NQUSM4573N)
